,colon_norm1,colon_norm2,colon_norm3,colon_tum1,colon_tum2,colon_tum3,liver1,liver2,liver3,liver4,liver5,liver6,liver7,liver8,liver9,met1,met2,met3,met4,met5,met6,met7,met8,met9,M12_1,M18,M19,M2,M21,M28,M3,M34,M40,M5,MN12_1,MN15,MN18,MN19,MN2,MN21,MN28,MN3,MN34,MN40,MN5,P12,P15_1,P18,P19,P21,P28,P3,P34,P40,P5,PN10,PN13,PN14,PN15_1,PN15_2,PN16,PN18,PN2,PN21,PN22,PN27,PN28,PN29,PN30,PN31,PN32,PN34,PN37,PN4,PN5,PN6,D103,D106,D107_merged,D111_merged,D114_merged,D119_merged,D121,D128,D136_merged,D138_merged,D139_merged,D13_merged,D141,D144_merged,D145_merged,D146,D158,D15_merged,D15_single,D161_merged,D164_merged,D166,D168,D16_merged,D17,D170,D173_merged,D175,D18,D180_merged,D183,D186,D187_merged,D189_merged,D19,D192,D193_merged,D194,D199_merged,D206_merged,D209,D211_merged,D212_merged,D213_merged,D214_merged,D219_merged,D222_merged,D224,D230,D233,D242,D243,D246,D248,D252,D260,D263,D269,D274,D27_merged,D28_merged,D311,D312,D315,D35,D38,D3_merged,D43_merged,D44,D5,D50_merged,D53_merged,D54_merged,D56_merged,D57,D63_merged,D64_merged,D65_merged,D68,D73_merged,D75_merged,D77_merged,D78_merged,D81_merged,D83_merged,D86_merged,D8_merged,D97_merged,SRR1273998_control_Liver,SRR1273999_control_Liver,SRR1274000_control_Liver,SRR1274001_control_Liver
Hsa-Mir-196-P3_5p ,365.1766187423,561.4631750648,263.5682166903,424.7016411047,1985.6424178711,192.7680656838,13.1514549736,5.7850743635,21.200207338,12.2561786461,11.7211414228,9.5128188206,6.3882106485,13.6507872161,9.1456558673,424.3137300818,1916.8509147789,746.923932091,304.3920359497,426.9949868778,384.2586664863,1380.4760364822,545.3011720674,4448.3206928755,397.8597644711,1091.3757982383,648.4688704117,1067.2465606319,15.9619793837,516.006810824,1521.9570139946,781.9214871993,1519.666615033,0.8979718946,9.0007742273,5.0509706071,2.5625500155,1.2130059188,3.7313070843,1.8860332948,1.0224109063,9.2721544222,3.1827064463,13.4552520806,1.2516354181,418.6260314136,248.0142574038,1100.0594292867,716.0059579192,109.3313254876,376.2173706386,1027.3085506021,2702.1316926382,1081.9834371404,283.2093393031,607.956298714,274.6848065334,346.1343073822,340.6288376247,426.5344061473,248.1209377761,93.951344925,152.4057621838,112.2849463654,378.4134157514,116.8709610137,462.4099569634,132.7174965001,224.9554453767,140.2690493957,193.0219175537,128.8995459447,505.3648413123,404.9198201164,461.993899121,175.5588673036,701.0883562101,711.876077084,1230.5777081623,390.5358199401,1072.6217240575,324.4851380946,164.3236382387,1027.7385829638,401.1319471629,380.4070460188,751.4045062332,565.9762847529,420.916539659,1144.2474792581,431.7677231213,104.8108561344,48.7004728599,2568.9650424843,2568.9650424843,228.5846838597,237.835214173,364.0653383172,1103.1917701894,1527.9157409444,974.6330079595,1741.5452946999,394.713020256,116.924521324,250.1333224661,524.7511513429,522.6970451506,129.5607974767,300.1501663142,150.3096659323,282.0596717583,641.2278773535,866.334958356,167.5247657445,265.8060748012,325.4789931297,681.7716729076,663.9701761653,1380.175317608,1193.3792869091,1027.5143353261,360.9238419933,501.7617842916,395.8864708305,954.6696347263,902.0469527004,885.344576109,131.2464555697,326.5811179242,109.0268854893,1277.4193894302,473.1118508291,417.2629618773,674.2939129544,433.1843259471,434.3142213295,157.8506556254,1679.9719948387,660.9856882742,551.0462658445,420.3931115335,632.2131427019,369.3430707221,2339.3736075897,1199.3861103258,234.0494586811,1105.1079650556,777.8952118709,1088.763833037,505.6529550069,396.420071004,287.9239100067,618.2829209221,1007.6328074041,841.08970108,825.5599827007,422.1731250514,501.5614572076,717.021893918,2607.2829725677,849.9140495947,602.8900466863,453.6762570613,1094.0498638027,1.5609028619,0.9657065998,3.1223391816,1.3377662447
Hsa-Mir-197_3p ,376.1724281814,198.7095194624,217.3229889957,211.1523295179,335.2619615054,227.4361713281,728.9663613963,197.1746178898,909.4888948014,555.2048926665,403.0269396911,461.3717128009,360.4776008801,95.9691707312,265.2240201506,178.274319027,75.588969131,638.7669348608,651.4251976252,120.5111972494,310.526376238,222.1247099585,195.969555326,172.0767091419,142.0476785243,94.9161382362,120.0567836139,35.7577734372,154.7084155648,92.951114004,172.5030188028,112.7756335809,183.2197961995,92.1319163816,60.5944979232,167.1029442529,109.2744542318,82.4844024768,140.297146371,125.52599373,153.7024395747,79.7405280307,136.1075050839,111.8910436177,150.1962501754,168.0700255629,79.2819439106,209.9926296704,146.480608185,175.3426918197,84.35670895,95.7645258315,75.0317897846,99.9548743051,97.2321314741,180.2668243113,159.0624266133,73.8572927858,155.1542154246,150.7112271932,77.3984440046,54.1685448056,104.2376399383,75.8250219958,99.2203597281,88.3714542965,122.9391823831,87.3032281665,150.4050903745,96.5343684617,56.5460683582,112.8349141059,145.787170752,162.7358285077,142.0535257685,184.5920976123,130.0431463446,58.443086011,135.8866383983,131.0665916852,222.9487439136,169.7369199271,173.1379330101,149.4623425189,169.4192576841,178.152060119,170.0258371768,162.4028901519,141.6624330767,122.3067376879,158.4721242421,158.1622305566,91.8174520161,123.6858938044,123.6858938044,113.5674433552,192.937750273,126.0644156561,97.6237161715,227.9025133308,115.5192509434,131.816770221,97.3190504488,187.0792341184,236.783510312,180.7476187959,181.9892680034,109.5403651956,210.2875785271,120.4879079777,60.1072434842,118.070970904,133.9144997012,109.821790877,86.7147620708,134.7524493849,103.0376356632,248.3445260181,170.3696386804,191.3152892691,146.2343681755,152.7774217528,88.1331055684,134.7698624104,90.5595466963,109.3390245697,195.6761571604,156.0768660829,65.0577161036,108.1258368489,91.3719010628,109.4466776195,208.6314809387,153.7250371502,83.1363857878,159.0016958729,202.5057753089,67.7241641694,148.5891110126,159.6134011412,197.8837868097,128.5516795327,155.0092680233,169.0514402934,79.0302484072,201.522947807,248.34709987,193.8603209394,140.5489187049,224.9821517872,84.7188054968,230.5831313189,178.0832895545,180.6805188398,420.1529168489,193.690898759,200.3470707481,330.834511676,196.0415294376,103.1931169244,326.8592818846,146.0325494414,158.8962736084,161.3828343157,160.1040364056,139.6411743301,151.7456842247,116.3856632929
Hsa-Mir-199-P1-2-3_3p ,4404.6897705985,3094.3568527081,2852.4135325172,4196.4618801404,5423.783401667,6259.8540322022,4439.5554432463,4375.4445769387,3153.5308415316,2950.6750090389,3096.1845881416,2970.3776767437,3307.2679128849,3663.7885567519,4607.7966178289,10565.4198985737,10300.5210152574,2206.1012605755,3098.3697969626,2689.0631600741,12771.141635334,7560.7694370917,2827.6675125459,4174.049955597,7864.1382769124,1493.411158175,4692.4356114378,431.1744214998,1514.3416338355,2246.9009888927,1797.0884110725,4940.6989430217,3588.9926186647,1656.7581454582,2890.5343518567,4309.7406705416,3670.8528971824,2577.9841505181,2714.1527731447,3414.1393820517,3219.9127474533,3770.0579880538,4112.6183826385,2336.9648350528,6063.0471289549,6305.336765473,8187.8070090005,5397.3595828695,2968.9651629136,5817.2516580199,4324.2129840898,4171.8771629147,1600.3490952746,757.1862500727,1442.0613654675,5687.5347267922,2058.9928898769,1476.9545155794,3466.0411444114,2993.793197275,3074.2789363479,1623.2803263042,2824.1410727299,1844.7850179053,2024.9644218966,3349.2666261008,2355.6733656624,1055.1040971758,2170.8902837509,659.9960940954,2242.2854475292,1066.7680523432,2245.835831679,5197.9477564828,2651.6658143455,2732.3557938059,2278.1397153041,4748.377958804,7243.7806292866,6394.0250683504,1719.7687459899,7721.6120065173,5048.7021265745,2728.7976198492,6192.5334243195,4667.05999847,7680.2737964449,5802.252576763,3480.4994333503,8758.5213822075,6572.0709986575,2930.5418078019,3058.2035791435,4722.6343831437,4722.6343831437,2283.9137757309,10973.182866157,3220.0764102506,5824.1521073808,8259.6757465387,2147.6226008723,5565.3487223827,8611.376760102,2693.5945282789,11039.5920297406,12142.3529375181,3185.1105331212,5495.8946673577,6027.6357107538,6505.1461546344,3240.6457809977,4486.3172449297,4302.6680409421,3778.9864379395,6673.4608129732,6965.6650758967,6051.576260416,7629.3312691061,6764.9433656885,3244.6671699285,9089.1277491174,2639.7682704878,5311.511904114,2575.067013913,8220.1760599008,6870.2755553687,11902.6325045708,4281.4722127753,6724.6412777853,7093.0548972895,4470.0742502813,4059.9408416205,6252.0475196993,3312.0758004183,2846.3273134204,5602.9583899096,5233.9954233695,4786.0910700531,4764.8754210025,3063.0571742804,2912.8493418385,6341.7154719479,5586.4574717721,6549.6778611157,3207.8113593611,5318.7916259791,3349.7554989835,14566.5172797029,5262.7398606212,5165.6793068768,1988.4942271327,8192.0045807555,8259.4473185109,14018.4080779526,8928.2494830395,8992.8595470386,11796.4058994621,12212.6947328695,6257.1555158245,4904.9865943621,6075.6667250059,6817.9176420562,7714.1401245966,5866.3708214247,2945.4237003923,2180.3723610136,1845.9269241493,2404.3003833704
Hsa-Mir-202_5p ,0.5787268126,0.1450434449,0.788831176,1.3074447648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3591887578,0,0,0,0,0.7462614169,0,0,0,0,0,0.1251635418,0,0,0.6862504238,0.1561626953,2.0628551979,0,0.1800085072,0,0,0,0.1225471273,0,0,0.38059088,0,0.3185121152,0.5328053587,0.1519499124,0.2905173257,0.7242362024,0.1149173658,0.1321926692,0,0.1003369516,0,0,0,0.2301297092,0.2953463312,0,0,0,0,0,0,0,0.4051000476,0,0,0.2359599689,0.5239766474,0,0.4425146871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4052433846,0,0.5966861246,0.8580185263,0,0,0,0,1.4503375419,0,0,0,0.3590161521,0.4685745774,0,0,0.3228131748,0,0.3511279106,0,0,0,0,0.4434001877,0.430845802,0,0,0.6125746882,0,0,0.5469499065,0,0.5192455777,0.1876015628,0,0,0,0,0,0,0,0,0,0.2453928113,0,1.1137730286,0,0,0,0,0.7838673822,0,0.3703273027,0,0,0,0,0,0,0,0.2229861231,0,0,0
Hsa-Mir-203_3p ,1020.8740974032,579.303518783,574.2690961484,1488.0900498224,1673.8078525903,873.0668344134,155.9386804018,120.2813378081,160.0615654021,121.9489775283,127.129303124,142.0977311333,82.59043767,151.8133002515,171.0775626935,699.383866952,910.725160337,3414.6709125511,1232.0005248139,1944.454749661,215.0997775128,3006.6684596341,1969.0393019248,2485.0932601911,1117.1892085179,1749.7166897086,1679.8215372136,1049.0838820607,3097.0332819549,5521.3893559094,1163.84948129,1674.8980365934,1207.1352680707,4073.3801080907,170.0503416517,166.6820300356,127.5783829138,121.820451557,155.9686361252,104.1509497225,89.8017579333,179.8797957901,86.6819461538,106.2256743206,66.3366771608,1013.8417671053,836.9885381188,1612.6884958352,1977.1758851067,3362.4539725434,1261.115859705,579.2673761762,1063.2794420794,1401.1651818314,2864.1966015248,472.0515344984,970.3787874087,539.5791856372,892.4856136647,704.8814573271,1638.1078087067,333.1809510007,289.0087334732,357.7720865434,540.2802069867,464.61090991,926.0096479498,491.6768503152,1125.1785746895,472.8116596977,1107.7502338903,689.8229409828,576.8201160061,421.3115414996,892.7616178028,1067.2957984286,1889.2820918823,255.627111502,1376.6923731067,1867.9653270258,2466.0513735174,845.0386992075,438.1963686365,1590.0721488763,2381.0720463652,3286.3815325479,753.5140079351,2099.7321901114,1020.1323485352,1087.1710016704,1347.6029026745,3151.5148763308,2229.3649582417,1145.2230386193,1145.2230386193,5836.8833227418,2053.1488896979,2418.0459037487,6121.4010010152,2104.2015787199,2088.0832670527,3207.169044954,1253.1866552204,2218.9675824599,288.0748938514,1100.0338950373,5636.8938191074,2433.0545345135,1538.1555635433,614.0480094277,1566.0626551357,4542.5053597008,4859.1142111808,2792.82398359,1652.0503124413,1086.3120535029,2214.7706425312,1701.8628650899,2662.4787151229,2893.142049261,1303.8424129381,5380.0210197124,1431.8996195529,1458.0013388744,942.0216533441,6736.9660523355,711.8770625527,1078.3492565731,1053.8488317185,651.4581670148,3107.0914424965,1602.0870011243,3653.6372570995,2439.2203811449,5128.2023233338,2620.2608237682,1903.0350423263,274.4610863706,1148.027774371,1151.4966796612,1705.318500551,3154.0355435351,2737.7315905444,2240.2867339723,617.348748956,671.7431593566,2842.4387831725,1663.0270822868,1102.1650090066,1577.473866244,4823.3772752194,1952.8398528985,669.2036115291,1819.6950655106,496.9719203026,1195.3766742038,1835.3421120655,1306.5921022859,2456.8904676767,1112.4028659285,1547.5867955244,1735.1021050758,2916.020579807,3884.0167418972,217.4114700494,88.651865861,91.1723041021,129.094442618
Hsa-Mir-204-P1_5p ,89.1239291384,48.4445105843,57.387468056,5.8835014417,28.8862069954,14.9056106393,270.0745217802,131.8514865351,232.1422703514,292.9226696408,166.8008587089,226.5239981664,140.0843335066,102.5877342299,103.2921133244,100.5650004768,110.6403056233,76.1244370749,70.1938531177,42.4840864186,89.6130912249,55.7126519259,72.7566562685,3648.0512813641,52.2735456969,13.742067152,48.5094301359,13.8112034969,9.4134750211,16.3072129832,12.0097038407,57.8737648057,13.6476570726,6.4653976408,102.0623506133,158.2637456904,82.9167969296,70.5276298488,135.8195778698,89.4818018743,103.6043051678,100.1392677594,70.9556319488,118.9727552391,279.9908430353,7.7451624683,3.0187513713,3.4312521188,4.5287181635,37.1313935618,13.5512785462,4.5002126801,23.6942494057,549.1902644402,11.0700718946,27.6956507779,13.3912925896,10.5237075213,34.2531792025,24.8781690821,19.1107269147,37.4739768983,23.2483366043,20.9172474471,21.0028498695,35.3945486649,19.5645150459,56.4049360125,31.1044549807,10.9734290344,35.9258855359,39.9703339799,10.125707203,42.2345253659,15.1011856222,65.5891070239,3.8154468365,7.1212163627,7.0135039173,10.1230294391,1.7018988085,25.1162029486,0.6295924837,15.5381643213,26.427516519,1.0479532948,7.594206127,6.1952056189,3.2566076569,7.8819897621,5.8984661629,0.378378542,0.3101940946,105.1781505709,105.1781505709,2.416328582,7.2806698216,4.8904299177,0.437774512,23.59064833,5.1773333756,1.1170912731,29.3588196885,109.9956608011,35.131084616,106.1163439382,33.4144229777,2.2880494036,1.3684658039,5.6040887431,1.403281949,64.5404021019,6.7682418622,25.3148534903,15.495421401,8.2924584237,7.1803230427,231.0072666545,7.2497718587,5.017009334,6.4562634956,119.4534874779,31.9526398674,4.0110078098,104.2193665891,1.2616041297,5.4021024983,2.2170009387,4.3084580201,0,3.7978540784,3.675448129,3.4484542304,2.9114590369,17.502397008,3.9205897612,2.5962278886,1.876015628,1.7689179882,31.1626164133,1.7589669939,2.5107749909,44.7804552067,7.103001693,11.2900354867,2.1212941874,15.0180399626,18.64985366,6.5371590095,386.8504986176,0.7992340141,3.6600497035,185.5961783326,8.8895704226,12.5418781149,5.222058545,12.591128291,8.9856287122,4.9010382359,93.725858491,6.7929190612,4.0462419241,3.2875091091,8.0342103664,113.2769505488,113.1808134958,148.6233450431,129.094442618
Hsa-Mir-204-P2_5p ,0,0,0.098603897,0.6537223824,0,0,8.4545067688,3.8567162423,8.4800829352,7.9665161199,9.0162626329,10.7019211732,5.4756091273,3.722941968,4.8418178121,1.3633213781,0.9143826911,0.3768536489,1.3120346377,0,2.4104787197,0,0.2491666311,0.1252377796,0,0.319582957,0,0.1891945685,0.2046407613,0,0,0,0,0.3591887578,4.01820278,3.3673137381,1.2812750077,0.8664327991,7.4626141687,1.4669147848,0.5112054531,1.8544308844,1.49774421,2.1245134864,2.3781072944,0,0,0,0,0,0.1693909818,0.1800085072,0,0,0,0,0,0.1913401368,0.7611817601,0.8412907419,0,0,0,0.1452586628,0,0.1149173658,0,0,0.1003369516,0,0.4251584087,0,0,0.1476731656,1.5357137921,0,0,0,0,0,0,0.4051000476,0,0,0,0,0,0.4425146871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3722772572,0,0,0,0,0,0,0,0,0.7022558213,0,0,0,0.6002336109,0.4434001877,0,0,0,0,0,0,0.5469499065,0,0,0,0,0,0.8794834969,0,0,0.3551500847,0.240213521,0.7070980625,0.7325873153,0,0,0.7425153524,0,0,0.2782551399,0.2222392606,0,0,0,0,0,0,0.3995834742,0,0,0,2.2298612313,3.0902611193,3.4345730997,3.3444156119
Hsa-Mir-205-P1_5p ,0,0,0,1.3074447648,0.9098017951,0,0,0.2410447651,0,0.6128089323,0,0,0,0,0,0.3207815007,0,1.1305609467,0,0,0.1417928659,0.3629488725,0,0,0,0.319582957,0.1622388968,0,1.0232038066,145.8330761065,1.0917912582,0.1564155806,0,0,0.3214562224,0,0.1830392868,0,0,0.209559255,0.8520090886,0,0,0.7081711621,0.2503270836,0,0,4.1175025426,0,0,24.2229104013,0,0,0,19.741628212,0,2.286318247,0,0,0.1201843917,0.9555363457,0.1776017862,0.1519499124,0,0,0,1.5863120307,0,0.1003369516,0,0,0,0,0.1476731656,0,0.1963745719,0,0,1.4611466494,0,12.3387663616,0,0,0,1.1797998446,2.619883237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323583336,0,0,0,0,0,0,0,0,2.0014602654,0,0,0,0,0,1.036557303,0,0.4685745774,0,20.0680373359,0,1.0253518238,0,0,0,0,0,0,0.430845802,0,0,0,0,0,23.5188459795,0,0.5192455777,0,0,0,0,0,0,0,0,0,0,0,1.3074318019,0.7425153524,0.7992340141,0,0.8347654198,0,43.1127060199,0,0.7406546054,1.6337506749,0,0,5.9937521128,0,0,0.3493134942,0,0,0,0
Hsa-Mir-208-P1_3p ,0.2893634063,0,0,0.8716298432,0.6823513463,0,1.8787792819,0,0,3.6768535938,1.8032525266,0,0,0.8273204373,0,0.6415630014,0.6095884607,0,0,0,0.2835857317,0.1814744362,0.2491666311,0.3757133387,0,0,0,0,0,0,0,0,0,0,0,0.4209142173,0,0.1732865598,0,0,0,0,0,0.7081711621,0,0,0.1588816511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323583336,0,0,0,0,0,0,0,0.456155268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3703273027,0,0,0,0,0,0,0,0,0,0,0
Hsa-Mir-208-P2_3p ,0,0,0.197207794,0,0.2274504488,0.3349575425,0,0,0,0,0,0,0,0,0,0.5613676263,0,0,0,0.1196734829,0,0.5444233087,0.1245833155,0.1252377796,0,0,0.1622388968,0,1.0232038066,0,0,0,0,0.1795943789,0,0,0,0,0,0,0,0,0,0,0,0.3872581234,0,0,0,0,0.3387819637,0,0.9872603919,0,0,0,0,0.1913401368,0,0,0,0,0,0,0,0,0,0,0.1003369516,0,0,0,0,0.1476731656,0,0,0.317953903,0,0,0.2663955116,0.4254747021,0,0,0,0.9438398757,1.5719299422,0.4219003404,0.4425146871,0,0,0.3932310775,0.378378542,0.3101940946,0,0,0.9665314328,0,0,0,0,1.9415000159,0,0.5436818461,0.8661075654,0,0.3887045566,0,0,2.2807763398,0,0,0,0,0.3722772572,0,0,0.3590161521,0.9371491548,0,0.3344672889,0.3228131748,0.5126759119,0.3511279106,0,0,0,0,0,3.4467664161,0,0,0.2041915627,0,0.5822918074,0.5469499065,0.4356210846,0,0,1.1792786588,0,0.8794834969,1.5064649945,0.7654778668,0,0.480427042,2.1212941874,0.3662936576,0.2453928113,0.653715901,1.8562883811,0.7992340141,0.8133443785,0.8347654198,0,0,0.474732595,0.3703273027,0,0,0,0.3995834742,0,0,0,0,0,0,0
Hsa-Mir-210_3p ,153.9413321481,234.6802937884,77.6998708388,565.9056757049,80.0625579714,201.8119193302,62.4694111248,84.3656678013,81.6207982514,49.0247145842,43.278060638,60.0496688053,25.552842594,146.0220571902,129.1151416555,370.3422425851,157.8834113302,151.8720205008,392.2983566766,773.0906993359,82.6652407976,976.6954158469,492.1040963368,341.5234249126,820.5936557593,752.9374467495,834.2324072196,367.0374627949,1152.3321270443,619.9070535452,736.9590993159,431.5505867539,849.225461342,447.7287866263,94.1866731644,51.3515345059,92.8009184179,137.762815061,89.551370024,64.9633690422,72.5911743446,120.5380074882,69.0834516863,100.5603050235,25.0327083626,346.5960204581,322.3708701297,157.8375974647,304.2049304311,121.7084566749,204.7936970293,230.770906233,233.980712881,52.7851583409,329.8881424585,130.2675963582,177.6795894818,110.9772793155,275.2940698866,159.7250565708,207.3513870247,62.5158287592,58.5007162919,76.2607979843,74.9584469479,119.0543909638,170.5285433055,47.902721393,321.6802666715,86.0380450375,253.7132803969,100.9776858439,125.3056266369,107.6537377333,115.1785344069,155.528660967,108.4222809377,17.4347021293,215.0807867982,118.8123981537,443.7701143165,115.4535135542,400.4208196161,125.7851397436,169.655217653,188.6315930672,234.154688916,168.1555810837,75.7161280238,159.8141372456,143.9225743738,188.8108924588,793.4764941119,32.04999438,32.04999438,214.5699780839,93.4352627108,455.8967445495,302.9399622901,411.1512994656,84.4552506897,105.0065796676,164.735599363,135.1127801966,166.52134108,95.6213209114,268.5087560705,177.0378226007,422.855933394,81.6595788287,157.1675782932,112.7558789662,252.8421781363,461.6237989405,123.3673934615,107.8019595079,64.6229073846,225.3843717258,223.3835953975,338.4808963991,141.7149837286,211.222475712,166.4346296391,89.0443733783,91.5713852069,185.4558070587,241.8941452013,160.5108679603,58.5950290735,191.9233604068,228.7648574286,215.4220986727,312.0851078504,87.3437711081,195.2611166201,452.610306882,369.1836057555,141.639179911,189.8638640716,153.5328906215,86.1893826993,450.9351883609,241.891005903,109.0310759876,68.4608534834,197.2803594321,212.4503214227,452.0135584436,169.3124183468,311.4851903457,261.3495226175,531.1138791931,171.4051661962,641.3825059921,323.7372288407,161.8838148942,150.7232121894,290.3991824712,193.5910103196,23.6681460836,617.7560510923,96.3741258278,227.9339649004,438.0391217141,173.2602176701,135.778347931,88.6744327568,86.9548059085
Hsa-Mir-2114_5p ,0,0.1450434449,0,0,0,0.1674787712,0.939389641,0.2410447651,0,0,0,0,0,0.4136602187,0,0.8019537518,3.0479423037,0,0.6560173189,0.1196734829,0,0.725897745,0,0.7514266775,0.2525292063,0,0.4867166903,0,0,0.4659203709,0,0.3128311611,0,0.1795943789,0.1607281112,0.4209142173,0.3660785736,0,0,0.8382370199,0.3408036354,0,0,0,0.3754906254,0,0,0,0.3123253906,0,0,0,0,0.6738530852,0,0.367641382,0,0.1913401368,0.2537272534,0.1201843917,0,0,0.3038998249,0.7262933141,0.3621181012,0.2298347316,0.1321926692,0.4147421766,0,0.1590352034,0,0.1912456171,0.1150648546,0.5906926625,0,0.3927491439,1.2718156122,0.2455591849,0.2922293299,0,1.7018988085,7.6969009036,0,0,7.5507190054,0.5239766474,0,1.3275440612,0.8141519142,0.2717927504,0.3932310775,0,0.6203881893,0.4514083715,0.4514083715,0,1.2134449703,0,0,0,0.323583336,0,0.5436818461,0.8661075654,0,0.7774091131,0.5966861246,0.2860061754,0,0.4002920531,0,0,0,0,0,0,0.7180323043,0.4685745774,1.8124429647,0.6689345779,0.6456263496,1.0253518238,1.7556395532,0.401100781,0.5059192553,0,0,0,0,0,0,0.6125746882,0,0,0,0,0,0,0,0,1.7589669939,0,0,6.3927015237,1.681494647,0,2.1977619458,0,0,0.7425153524,0,0,0.2782551399,0.4444785211,0,0.474732595,0.3703273027,0,0,0.9467258433,0,0.3678401749,0.5479181849,0.3493134942,0.4459722463,0.5794239599,0.3122339182,0.3344415612
Hsa-Mir-2114_3p ,0,0.1450434449,0.098603897,0.2179074608,0.2274504488,0,0,0,0,0,0,0,0,0,0,1.3633213781,3.352736534,0,0,0.1196734829,0.4253785976,0.1814744362,0.1245833155,1.3776155754,0.7575876188,1.2783318281,0.3244777936,0.1891945685,0,0.2329601855,0,0.1564155806,0,0.3591887578,0,0,0,0.5198596795,0,1.0477962749,0.1704018177,0,0.1872180263,0.7081711621,0.7509812509,0.3872581234,0.1588816511,0,0,0,0.6775639273,0,0,1.5723238655,0,0.1225471273,0.3266168924,0,0.6343181334,0.2403687834,0.9555363457,0,0.1519499124,0.1452586628,0.3621181012,0.2298347316,0.1321926692,0,0.1003369516,0,0.8503168174,0,0,0.4430194968,0.5119045974,0,0.317953903,0.2455591849,0.5844586598,0.2663955116,2.1273735106,3.2408003805,0,0,5.1911193162,0,0.4219003404,0,0,0.2717927504,0,0,0,0,0,0.4832657164,0,0.543381102,0.437774512,0.4212615773,0.9707500079,0,1.6310455382,0.8661075654,0.7026216923,0.7774091131,0,0,0,0,0.2338803248,0,0,0,0,1.036557303,0.3590161521,0,0,1.6723364447,0.3228131748,0,0.3511279106,0,1.0118385106,0,0,0,0,0,0,0.2041915627,1.7242271152,0,0,0,0,0.1876015628,0,0,1.7589669939,0.5021549982,0.3827389334,2.8412006772,3.6032028149,0,4.3955238915,0.2453928113,0,0.7425153524,0,0.4066721893,0.2782551399,0.2222392606,0,0.94946519,0,0,0,0,0,0,0.5479181849,0,0.4459722463,0.19314132,0.3122339182,0.3344415612
Hsa-Mir-2115_3p ,0.5787268126,0,0,0.2179074608,0,0.1674787712,0,0.2410447651,0,0,0,0,0.4563007606,0,0.5379797569,0.6415630014,0,0,2.6240692754,0,0,0,0,0.3757133387,0.1262646031,0.9587488711,0,0,0.613922284,0,0,0,0.3411914268,0,0,0,0.3660785736,0,0,0,0.6816072708,0,0,0,0.2503270836,0,0.3177633022,1.3725008475,0.1561626953,0,0,0.3600170144,0,0,0.3690023965,0,0,0,0.1268636267,0.3605531751,0,0,0,0,0,0,0,0.2073710883,0,0.1590352034,0,0.3824912343,0.1150648546,0,0,0,0,0.4911183698,0.2922293299,0.2663955116,0,0.4051000476,0,0,0.2359599689,0,0.8438006808,1.7700587482,0,0,0,3.405406878,0.9305822839,0,0,0,0,0.543381102,0.437774512,0.4212615773,0,0,0,0,0,0,0,0,1.8246210718,0,0.2338803248,0,0,0,0.2979888731,0,0,0,0.4531107412,0,0,1.0253518238,0,0,0,0,0.6002336109,3.1038013141,0.430845802,0.9010486404,0,0,0,0.5822918074,0,0.4356210846,2.0769823109,0.3752031256,0.5896393294,0,0.8794834969,0,0.7654778668,0.3551500847,0,0,0,0.4907856226,0.3268579505,0,0,0.4066721893,0,0,0.7838673822,0,1.110981908,0.4084376687,0.9802076472,0,0.3995834742,0.3678401749,0,0,0,0.9657065998,0.3122339182,0
